Samples    property    nMgO    metal_coord    HL_gap    pdos_c    pdos_w    av_d    O_Mc    ratio_Mg_Si_cluster    Q_1    Q_2    Q_3    Q_4    Q_5    Q_6
H-MgO_8_SiO2_4_Escatllar-site20    0.981    8    3    2.264    -3.352    1.507    1.91    -0.681    2.0    0.407    0.387    0.654    0.623    0.599    0.477
H-MgO_8_SiO2_4_Escatllar-site21    1.888    8    3    2.264    -1.254    0.796    1.934    -0.94    2.0    0.468    0.281    0.668    0.659    0.532    0.539
H-MgO_8_SiO2_4_Escatllar-site22    1.71    8    2    2.264    -2.984    1.411    1.741    -0.642    2.0    0.621    0.538    0.81    0.772    0.579    0.699
H-MgO_8_SiO2_4_Escatllar-site23    0.317    8    3    2.264    -4.804    2.054    1.857    -0.52    2.0    0.229    0.522    0.681    0.476    0.67    0.542
H-MgO_8_SiO2_4_Escatllar-site26    1.602    8    2    2.264    -1.87    1.369    1.777    -0.631    2.0    0.697    0.501    0.722    0.828    0.688    0.589
H-MgO_8_SiO2_4_Escatllar-site3    1.849    8    2    2.264    -1.473    1.375    1.771    -0.584    2.0    0.694    0.501    0.726    0.828    0.682    0.59
H-MgO_8_SiO2_4_Escatllar-site8    1.475    8    3    2.264    -2.883    1.475    1.945    -0.624    2.0    0.486    0.216    0.673    0.696    0.483    0.511
H-MgO_8_SiO2_8_Andreas_0-site0    0.849    8    2    3.493    -1.522    1.505    1.759    -0.584    1.0    0.452    0.716    0.828    0.547    0.752    0.772
H-MgO_8_SiO2_8_Andreas_0-site12    -0.124    8    3    3.493    -3.535    1.991    1.826    -0.392    1.0    0.264    0.451    0.737    0.507    0.551    0.624
H-MgO_8_SiO2_8_Andreas_0-site14    0.836    8    2    3.493    -1.771    1.478    1.761    -0.627    1.0    0.518    0.641    0.85    0.622    0.645    0.816
H-MgO_8_SiO2_8_Andreas_0-site18    0.09    8    2    3.493    -3.627    1.97    1.668    -0.376    1.0    0.57    0.584    0.842    0.701    0.582    0.781
H-MgO_8_SiO2_8_Andreas_0-site20    1.046    8    2    3.493    -1.237    1.408    1.78    -0.591    1.0    0.656    0.515    0.776    0.807    0.617    0.636
H-MgO_8_SiO2_8_Andreas_0-site26    0.976    8    2    3.493    -1.342    1.415    1.756    -0.578    1.0    0.659    0.513    0.772    0.81    0.622    0.63
H-MgO_8_SiO2_8_Andreas_0-site32    0.931    8    2    3.493    -1.759    1.405    1.768    -0.564    1.0    0.632    0.529    0.8    0.785    0.588    0.678
H-MgO_8_SiO2_8_Andreas_0-site33    0.88    8    2    3.493    -1.748    1.421    1.765    -0.635    1.0    0.568    0.587    0.843    0.697    0.584    0.785
H-MgO_8_SiO2_8_Andreas_0-site35    0.424    8    3    3.493    -2.598    1.477    1.878    -0.678    1.0    0.341    0.39    0.731    0.559    0.513    0.628
H-MgO_8_SiO2_8_Andreas_1-site0    1.018    8    2    3.488    -1.533    1.501    1.762    -0.6    1.0    0.46    0.707    0.832    0.553    0.74    0.782
H-MgO_8_SiO2_8_Andreas_1-site1    -0.124    8    3    3.488    -3.793    2.061    1.849    -0.381    1.0    0.172    0.609    0.58    0.494    0.749    0.411
H-MgO_8_SiO2_8_Andreas_1-site12    -0.037    8    3    3.488    -3.551    1.981    1.829    -0.409    1.0    0.255    0.469    0.72    0.517    0.572    0.586
H-MgO_8_SiO2_8_Andreas_1-site13    0.947    8    2    3.488    -2.806    1.48    1.771    -0.688    1.0    0.527    0.631    0.851    0.635    0.631    0.814
H-MgO_8_SiO2_8_Andreas_1-site14    0.9    8    2    3.488    -1.856    1.43    1.752    -0.592    1.0    0.579    0.575    0.838    0.714    0.576    0.77
H-MgO_8_SiO2_8_Andreas_1-site18    -0.064    8    2    3.488    -3.421    1.98    1.663    -0.374    1.0    0.557    0.599    0.846    0.68    0.594    0.796
H-MgO_8_SiO2_8_Andreas_1-site19    0.558    8    3    3.488    -3.348    1.49    1.873    -0.762    1.0    0.334    0.399    0.732    0.546    0.523    0.637
H-MgO_8_SiO2_8_Andreas_1-site26    1.258    8    2    3.488    -1.353    1.419    1.76    -0.575    1.0    0.677    0.505    0.75    0.821    0.651    0.605
H-MgO_8_SiO2_8_Andreas_1-site32    0.854    8    2    3.488    -1.96    1.414    1.758    -0.613    1.0    0.592    0.563    0.831    0.733    0.572    0.75
H-MgO_8_SiO2_8_Andreas_1-site33    0.911    8    2    3.488    -1.919    1.439    1.757    -0.595    1.0    0.59    0.565    0.832    0.731    0.572    0.753
H-MgO_8_SiO2_8_Andreas_2-site1    0.263    8    2    3.256    -3.302    2.023    1.666    -0.361    1.0    0.492    0.67    0.846    0.587    0.687    0.81
H-MgO_8_SiO2_8_Andreas_2-site11    1.326    8    2    3.256    -1.501    1.432    1.763    -0.591    1.0    0.619    0.539    0.812    0.769    0.578    0.704
H-MgO_8_SiO2_8_Andreas_2-site15    1.269    8    2    3.256    -1.459    1.511    1.755    -0.553    1.0    0.534    0.623    0.85    0.645    0.622    0.812
H-MgO_8_SiO2_8_Andreas_2-site16    0.95    8    2    3.256    -2.821    1.465    1.8    -0.62    1.0    0.574    0.581    0.841    0.706    0.58    0.777
H-MgO_8_SiO2_8_Andreas_2-site17    1.492    8    2    3.256    -2.225    1.375    1.776    -0.536    1.0    0.646    0.52    0.786    0.799    0.604    0.652
H-MgO_8_SiO2_8_Andreas_2-site38    1.424    8    2    3.256    -1.686    1.386    1.773    -0.62    1.0    0.628    0.532    0.804    0.78    0.584    0.687
H-MgO_8_SiO2_8_Andreas_2-site39    -0.197    8    3    3.256    -3.848    2.099    1.818    -0.32    1.0    0.196    0.512    0.706    0.492    0.615    0.558
H-MgO_8_SiO2_8_Andreas_2-site6    -0.143    8    3    3.256    -3.934    2.103    1.795    -0.345    1.0    0.205    0.498    0.722    0.48    0.602    0.588
H-MgO_8_SiO2_8_Andreas_3-site0    1.112    8    2    3.392    -1.409    1.499    1.759    -0.558    1.0    0.546    0.611    0.849    0.663    0.607    0.806
H-MgO_8_SiO2_8_Andreas_3-site18    -0.056    8    2    3.392    -3.258    2.011    1.672    -0.374    1.0    0.499    0.662    0.848    0.595    0.676    0.813
H-MgO_8_SiO2_8_Andreas_3-site27    -0.266    8    3    3.392    -3.921    2.106    1.804    -0.363    1.0    0.205    0.487    0.736    0.478    0.578    0.612
H-MgO_8_SiO2_8_Andreas_3-site28    1.028    8    2    3.392    -2.018    1.419    1.769    -0.642    1.0    0.56    0.595    0.845    0.686    0.59    0.793
H-MgO_8_SiO2_8_Andreas_3-site29    -0.394    8    3    3.392    -3.899    2.103    1.817    -0.314    1.0    0.204    0.511    0.705    0.49    0.621    0.558
H-MgO_8_SiO2_8_Andreas_3-site31    0.372    8    2    3.392    -3.237    1.845    1.693    -0.378    1.0    0.702    0.5    0.714    0.829    0.698    0.587
H-MgO_8_SiO2_8_Andreas_3-site6    1.118    8    2    3.392    -1.983    1.364    1.798    -0.581    1.0    0.669    0.508    0.759    0.817    0.638    0.615
H-MgO_8_SiO2_8_Andreas_3-site7    0.389    8    3    3.392    -2.959    1.516    1.866    -0.707    1.0    0.385    0.293    0.751    0.63    0.365    0.621
H-MgO_8_SiO2_8_Andreas_3-site8    1.137    8    2    3.392    -1.472    1.451    1.767    -0.61    1.0    0.565    0.59    0.844    0.692    0.586    0.788
H-MgO_8_SiO2_8_Escatllar-site16    -0.199    8    2    3.752    -3.168    1.973    1.665    -0.337    1.0    0.55    0.606    0.848    0.669    0.601    0.802
H-MgO_8_SiO2_8_Escatllar-site19    0.897    8    2    3.752    -2.064    1.466    1.756    -0.618    1.0    0.56    0.595    0.846    0.685    0.591    0.793
H-MgO_8_SiO2_8_Escatllar-site20    -0.667    8    3    3.752    -4.234    2.038    1.815    -0.353    1.0    0.247    0.461    0.74    0.493    0.559    0.627
H-MgO_8_SiO2_8_Escatllar-site21    0.314    8    3    3.752    -3.004    1.485    1.873    -0.695    1.0    0.366    0.37    0.722    0.581    0.507    0.612
H-MgO_8_SiO2_8_Escatllar-site26    0.716    8    2    3.752    -1.87    1.388    1.764    -0.616    1.0    0.646    0.52    0.786    0.799    0.604    0.652
H-MgO_8_SiO2_8_Escatllar-site33    0.974    8    2    3.752    -1.423    1.418    1.765    -0.559    1.0    0.669    0.508    0.76    0.817    0.638    0.615
H-MgO_8_SiO2_8_Escatllar-site36    0.721    8    2    3.752    -1.546    1.394    1.758    -0.64    1.0    0.59    0.565    0.832    0.73    0.572    0.754
H-MgO_8_SiO2_8_Escatllar-site38    0.843    8    2    3.752    -1.385    1.416    1.768    -0.554    1.0    0.641    0.524    0.792    0.793    0.597    0.663
H-MgO_8_SiO2_8_Escatllar-site4    -0.274    8    2    3.752    -3.299    1.965    1.664    -0.34    1.0    0.548    0.608    0.848    0.667    0.603    0.803
H-MgO_9_SiO2_9_Andreas_0-site1    0.569    9    2    3.986    -2.197    1.482    1.749    -0.557    1.0    0.501    0.66    0.848    0.598    0.672    0.814
H-MgO_9_SiO2_9_Andreas_0-site10    0.865    9    2    3.986    -1.83    1.42    1.785    -0.564    1.0    0.608    0.549    0.821    0.755    0.573    0.724
H-MgO_9_SiO2_9_Andreas_0-site17    0.853    9    2    3.986    -1.776    1.408    1.75    -0.609    1.0    0.592    0.564    0.831    0.732    0.572    0.752
H-MgO_9_SiO2_9_Andreas_0-site18    0.563    9    3    3.986    -2.382    1.461    1.898    -0.644    1.0    0.494    0.195    0.669    0.707    0.477    0.496
H-MgO_9_SiO2_9_Andreas_0-site19    0.233    9    2    3.986    -3.37    2.077    1.66    -0.281    1.0    0.441    0.728    0.821    0.541    0.768    0.757
H-MgO_9_SiO2_9_Andreas_0-site27    -0.448    9    2    3.986    -3.879    2.056    1.644    -0.287    1.0    0.496    0.665    0.847    0.592    0.68    0.812
H-MgO_9_SiO2_9_Andreas_0-site29    0.981    9    2    3.986    -1.415    1.42    1.771    -0.612    1.0    0.599    0.557    0.827    0.743    0.572    0.74
H-MgO_9_SiO2_9_Andreas_0-site34    0.874    9    2    3.986    -1.433    1.411    1.764    -0.587    1.0    0.63    0.531    0.802    0.782    0.586    0.683
H-MgO_9_SiO2_9_Andreas_1-site1    0.843    9    2    3.041    -2.678    1.436    1.739    -0.62    1.0    0.535    0.622    0.85    0.647    0.62    0.811
H-MgO_9_SiO2_9_Andreas_1-site18    -0.018    9    2    3.041    -4.18    1.824    1.678    -0.39    1.0    0.701    0.5    0.715    0.829    0.697    0.587
H-MgO_9_SiO2_9_Andreas_1-site21    1.236    9    2    3.041    -1.92    1.448    1.743    -0.61    1.0    0.552    0.604    0.848    0.672    0.599    0.801
H-MgO_9_SiO2_9_Andreas_1-site22    1.334    9    2    3.041    -1.763    1.502    1.753    -0.561    1.0    0.551    0.605    0.848    0.671    0.6    0.802
H-MgO_9_SiO2_9_Andreas_1-site25    0.221    9    3    3.041    -3.863    1.48    1.89    -0.685    1.0    0.405    0.268    0.742    0.651    0.363    0.595
H-MgO_9_SiO2_9_Andreas_1-site26    0.726    9    2    3.041    -2.536    1.424    1.743    -0.637    1.0    0.57    0.585    0.842    0.7    0.582    0.782
H-MgO_9_SiO2_9_Andreas_1-site30    0.274    9    2    3.041    -3.564    1.481    1.77    -0.665    1.0    0.447    0.721    0.825    0.544    0.759    0.765
H-MgO_9_SiO2_9_Andreas_1-site38    -0.336    9    2    3.041    -4.162    2.036    1.655    -0.298    1.0    0.506    0.655    0.849    0.604    0.665    0.815
H-MgO_9_SiO2_9_Andreas_1-site42    1.254    9    2    3.041    -1.787    1.445    1.74    -0.586    1.0    0.566    0.589    0.843    0.695    0.585    0.786
H-MgO_9_SiO2_9_Andreas_1-site43    -0.312    9    3    3.041    -4.684    1.918    1.84    -0.415    1.0    0.237    0.531    0.667    0.474    0.689    0.532
H-MgO_9_SiO2_9_Andreas_1-site7    0.667    9    2    3.041    -2.624    1.404    1.76    -0.572    1.0    0.616    0.542    0.815    0.765    0.576    0.71
H-MgO_9_SiO2_9_Andreas_1-site8    1.034    9    2    3.041    -2.235    1.431    1.763    -0.562    1.0    0.623    0.536    0.809    0.774    0.581    0.696
H-MgO_9_SiO2_9_Andreas_2-site10    0.418    9    2    3.973    -2.151    1.447    1.738    -0.595    1.0    0.532    0.626    0.85    0.642    0.625    0.813
H-MgO_9_SiO2_9_Andreas_2-site12    0.593    9    3    3.973    -2.193    1.529    1.893    -0.632    1.0    0.397    0.314    0.731    0.616    0.442    0.621
H-MgO_9_SiO2_9_Andreas_2-site22    0.692    9    2    3.973    -1.747    1.404    1.755    -0.591    1.0    0.568    0.587    0.843    0.698    0.583    0.784
H-MgO_9_SiO2_9_Andreas_2-site3    0.883    9    2    3.973    -1.579    1.486    1.743    -0.566    1.0    0.54    0.616    0.85    0.655    0.613    0.809
H-MgO_9_SiO2_9_Andreas_2-site33    0.373    9    2    3.973    -1.94    1.497    1.73    -0.552    1.0    0.456    0.711    0.83    0.55    0.746    0.777
H-MgO_9_SiO2_9_Andreas_2-site34    0.876    9    2    3.973    -1.477    1.43    1.758    -0.6    1.0    0.609    0.547    0.82    0.757    0.573    0.721
H-MgO_9_SiO2_9_Andreas_2-site41    0.95    9    2    3.973    -1.035    1.38    1.799    -0.611    1.0    0.676    0.506    0.751    0.821    0.649    0.607
H-MgO_9_SiO2_9_Andreas_3-site15    1.135    9    2    3.476    -1.87    1.489    1.758    -0.577    1.0    0.486    0.677    0.844    0.579    0.698    0.806
H-MgO_9_SiO2_9_Andreas_3-site24    1.217    9    2    3.476    -1.138    1.36    1.778    -0.624    1.0    0.658    0.513    0.773    0.809    0.621    0.631
H-MgO_9_SiO2_9_Andreas_3-site31    1.043    9    2    3.476    -1.84    1.443    1.772    -0.592    1.0    0.556    0.599    0.847    0.679    0.595    0.797
H-MgO_9_SiO2_9_Andreas_3-site35    0.899    9    2    3.476    -2.048    1.445    1.772    -0.628    1.0    0.556    0.6    0.847    0.678    0.595    0.797
H-MgO_9_SiO2_9_Andreas_3-site38    1.304    9    2    3.476    -2.231    1.402    1.746    -0.582    1.0    0.557    0.598    0.846    0.681    0.593    0.796
H-MgO_9_SiO2_9_Andreas_3-site39    0.133    9    2    3.476    -3.286    1.859    1.684    -0.371    1.0    0.684    0.503    0.74    0.825    0.664    0.597
H-MgO_9_SiO2_9_Andreas_3-site40    0.513    9    2    3.476    -2.441    1.447    1.762    -0.604    1.0    0.502    0.659    0.848    0.598    0.672    0.814
H-MgO_9_SiO2_9_Andreas_3-site6    0.649    9    2    3.476    -3.494    1.813    1.687    -0.366    1.0    0.672    0.507    0.755    0.819    0.643    0.611
H-MgO_9_SiO2_9_Andreas_3-site7    0.789    9    2    3.476    -2.493    1.368    1.766    -0.565    1.0    0.636    0.527    0.797    0.789    0.592    0.672
H-MgO_9_SiO2_9_Escatllar-site18    0.563    9    2    3.385    -2.509    1.411    1.76    -0.607    1.0    0.488    0.675    0.844    0.581    0.695    0.807
H-MgO_9_SiO2_9_Escatllar-site24    0.873    9    2    3.385    -2.624    1.383    1.75    -0.548    1.0    0.642    0.523    0.79    0.795    0.599    0.66
H-MgO_9_SiO2_9_Escatllar-site26    1.203    9    2    3.385    -1.245    1.342    1.768    -0.628    1.0    0.68    0.504    0.746    0.823    0.656    0.602
H-MgO_9_SiO2_9_Escatllar-site29    0.872    9    2    3.385    -2.281    1.414    1.748    -0.652    1.0    0.546    0.61    0.849    0.664    0.606    0.805
H-MgO_9_SiO2_9_Escatllar-site3    0.503    9    2    3.385    -2.572    1.457    1.737    -0.554    1.0    0.493    0.67    0.846    0.587    0.687    0.81
H-MgO_9_SiO2_9_Escatllar-site30    0.952    9    2    3.385    -2.32    1.411    1.743    -0.623    1.0    0.587    0.568    0.834    0.725    0.573    0.759
H-MgO_9_SiO2_9_Escatllar-site33    -0.118    9    2    3.385    -3.523    1.829    1.683    -0.371    1.0    0.699    0.5    0.72    0.829    0.691    0.588
H-MgO_9_SiO2_9_Escatllar-site43    0.414    9    2    3.385    -2.362    1.408    1.74    -0.629    1.0    0.538    0.619    0.85    0.651    0.616    0.81
