Samples    property    nMgO    metal_coord    HL_gap    pdos_c    pdos_w    av_d    O_Mc    ratio_Mg_Si_cluster    Q_1    Q_2    Q_3    Q_4    Q_5    Q_6
H-MgO_12_SiO2_6_Escatllar-site36    0.554    12    3    3.511    -2.656    1.591    1.886    -0.698    2.0    0.309    0.444    0.711    0.522    0.584    0.608
H-MgO_14_SiO2_7_Andreas_0-site10    1.299    14    2    3.165    -2.071    1.403    1.758    -0.651    2.0    0.601    0.555    0.826    0.745    0.572    0.737
H-MgO_14_SiO2_7_Andreas_0-site11    0.542    14    2    3.165    -2.365    1.387    1.751    -0.654    2.0    0.595    0.56    0.829    0.738    0.572    0.745
H-MgO_14_SiO2_7_Andreas_0-site15    0.871    14    3    3.165    -3.164    1.446    1.857    -0.685    2.0    0.413    0.31    0.718    0.622    0.463    0.611
H-MgO_14_SiO2_7_Andreas_0-site16    1.624    14    3    3.165    -1.246    0.749    1.929    -0.97    2.0    0.436    0.254    0.717    0.666    0.417    0.568
H-MgO_14_SiO2_7_Andreas_0-site23    0.732    14    2    3.165    -2.071    1.452    1.741    -0.592    2.0    0.524    0.635    0.851    0.63    0.637    0.815
H-MgO_14_SiO2_7_Andreas_0-site27    0.695    14    3    3.165    -2.921    1.551    1.881    -0.709    2.0    0.276    0.45    0.723    0.537    0.548    0.585
H-MgO_14_SiO2_7_Andreas_0-site32    0.211    14    3    3.165    -3.324    1.541    1.883    -0.718    2.0    0.297    0.466    0.694    0.533    0.602    0.567
H-MgO_14_SiO2_7_Andreas_0-site34    1.176    14    3    3.165    -1.892    0.722    1.915    -1.008    2.0    0.369    0.3    0.763    0.62    0.334    0.641
H-MgO_14_SiO2_7_Andreas_0-site38    1.102    14    2    3.165    -1.899    1.381    1.81    -0.618    2.0    0.683    0.503    0.742    0.824    0.661    0.599
H-MgO_14_SiO2_7_Andreas_0-site43    0.609    14    2    3.165    -2.988    1.444    1.792    -0.708    2.0    0.559    0.597    0.846    0.683    0.592    0.795
H-MgO_14_SiO2_7_Andreas_0-site44    0.485    14    3    3.165    -2.518    1.62    1.889    -0.676    2.0    0.196    0.53    0.671    0.54    0.608    0.515
H-MgO_14_SiO2_7_Andreas_0-site45    1.442    14    2    3.165    -1.162    1.357    1.785    -0.596    2.0    0.689    0.502    0.733    0.826    0.674    0.593
H-MgO_14_SiO2_7_Andreas_0-site5    0.604    14    3    3.165    -2.94    1.528    1.883    -0.686    2.0    0.425    0.308    0.706    0.628    0.484    0.597
H-MgO_14_SiO2_7_Andreas_0-site6    1.077    14    2    3.165    -1.776    1.404    1.758    -0.619    2.0    0.648    0.519    0.784    0.8    0.606    0.649
H-MgO_14_SiO2_7_Andreas_1-site0    1.456    14    2    2.727    -1.877    1.459    1.765    -0.591    2.0    0.559    0.596    0.846    0.684    0.591    0.794
H-MgO_14_SiO2_7_Andreas_1-site11    2.145    14    2    2.727    -1.328    1.376    1.756    -0.591    2.0    0.643    0.522    0.789    0.796    0.6    0.658
H-MgO_14_SiO2_7_Andreas_1-site13    1.464    14    2    2.727    -2.708    1.508    1.81    -0.63    2.0    0.558    0.597    0.846    0.682    0.593    0.795
H-MgO_14_SiO2_7_Andreas_1-site21    0.909    14    3    2.727    -2.925    1.467    1.879    -0.702    2.0    0.387    0.29    0.75    0.633    0.366    0.617
H-MgO_14_SiO2_7_Andreas_1-site24    0.696    14    3    2.727    -3.36    1.46    1.894    -0.632    2.0    0.442    0.23    0.719    0.68    0.391    0.554
H-MgO_14_SiO2_7_Andreas_1-site26    1.987    14    3    2.727    -1.353    0.749    1.911    -0.908    2.0    0.522    0.092    0.651    0.75    0.472    0.401
H-MgO_14_SiO2_7_Andreas_1-site3    1.809    14    2    2.727    -1.955    1.367    1.75    -0.642    2.0    0.62    0.539    0.812    0.77    0.578    0.702
H-MgO_14_SiO2_7_Andreas_1-site30    1.331    14    3    2.727    -2.722    1.587    1.862    -0.688    2.0    0.247    0.529    0.632    0.589    0.602    0.491
H-MgO_14_SiO2_7_Andreas_1-site31    1.787    14    2    2.727    -1.524    1.399    1.752    -0.6    2.0    0.638    0.525    0.794    0.791    0.595    0.667
H-MgO_14_SiO2_7_Andreas_1-site32    0.711    14    3    2.727    -3.097    1.49    1.88    -0.639    2.0    0.434    0.294    0.7    0.645    0.487    0.564
H-MgO_14_SiO2_7_Andreas_1-site33    1.056    14    3    2.727    -3.414    1.423    1.894    -0.662    2.0    0.546    0.054    0.621    0.759    0.518    0.371
H-MgO_14_SiO2_7_Andreas_1-site34    1.255    14    2    2.727    -2.352    1.416    1.764    -0.628    2.0    0.587    0.568    0.834    0.725    0.573    0.759
H-MgO_14_SiO2_7_Andreas_1-site44    1.494    14    2    2.727    -2.572    1.392    1.756    -0.633    2.0    0.589    0.566    0.833    0.729    0.573    0.755
H-MgO_14_SiO2_7_Andreas_1-site7    1.36    14    2    2.727    -1.995    1.469    1.762    -0.595    2.0    0.559    0.596    0.846    0.684    0.591    0.794
H-MgO_14_SiO2_7_Andreas_2-site0    0.935    14    2    3.528    -1.667    1.4    1.758    -0.579    2.0    0.644    0.522    0.789    0.796    0.601    0.657
H-MgO_14_SiO2_7_Andreas_2-site16    1.34    14    3    3.528    -0.948    0.752    1.918    -0.973    2.0    0.44    0.247    0.713    0.674    0.424    0.546
H-MgO_14_SiO2_7_Andreas_2-site24    1.041    14    2    3.528    -1.644    1.335    1.775    -0.598    2.0    0.687    0.502    0.736    0.826    0.67    0.595
H-MgO_14_SiO2_7_Andreas_2-site31    0.904    14    2    3.528    -1.839    1.462    1.764    -0.599    2.0    0.581    0.573    0.837    0.717    0.575    0.767
H-MgO_14_SiO2_7_Andreas_2-site35    1.277    14    2    3.528    -1.295    1.437    1.763    -0.594    2.0    0.578    0.576    0.838    0.713    0.577    0.771
H-MgO_14_SiO2_7_Andreas_2-site45    0.828    14    3    3.528    -2.059    1.451    1.898    -0.632    2.0    0.512    0.156    0.655    0.726    0.484    0.459
H-MgO_14_SiO2_7_Andreas_2-site46    1.131    14    2    3.528    -1.919    1.466    1.738    -0.643    2.0    0.495    0.667    0.847    0.589    0.683    0.811
H-MgO_14_SiO2_7_Andreas_2-site47    1.167    14    2    3.528    -1.2    1.375    1.793    -0.591    2.0    0.678    0.505    0.748    0.822    0.654    0.603
H-MgO_14_SiO2_7_Andreas_2-site48    1.418    14    3    3.528    -1.402    0.786    1.926    -0.999    2.0    0.365    0.371    0.726    0.571    0.505    0.633
H-MgO_14_SiO2_7_Andreas_2-site6    0.985    14    2    3.528    -1.726    1.409    1.743    -0.581    2.0    0.601    0.555    0.826    0.746    0.572    0.736
H-MgO_14_SiO2_7_Andreas_2-site7    1.159    14    2    3.528    -1.849    1.438    1.741    -0.61    2.0    0.593    0.562    0.831    0.735    0.572    0.749
H-MgO_14_SiO2_7_Andreas_3-site0    0.989    14    3    3.057    -2.501    1.58    1.857    -0.654    2.0    0.392    0.408    0.641    0.635    0.609    0.418
H-MgO_14_SiO2_7_Andreas_3-site15    0.843    14    2    3.057    -2.254    1.341    1.773    -0.606    2.0    0.678    0.505    0.748    0.822    0.654    0.604
H-MgO_14_SiO2_7_Andreas_3-site25    0.983    14    2    3.057    -2.324    1.408    1.743    -0.652    2.0    0.57    0.585    0.842    0.7    0.582    0.783
H-MgO_14_SiO2_7_Andreas_3-site30    1.051    14    2    3.057    -2.379    1.381    1.745    -0.647    2.0    0.616    0.542    0.815    0.765    0.576    0.71
H-MgO_14_SiO2_7_Andreas_3-site33    1.239    14    2    3.057    -1.44    1.363    1.804    -0.617    2.0    0.693    0.501    0.728    0.827    0.68    0.591
H-MgO_14_SiO2_7_Andreas_3-site38    0.418    14    3    3.057    -2.89    1.429    1.877    -0.692    2.0    0.423    0.334    0.683    0.631    0.541    0.536
H-MgO_14_SiO2_7_Andreas_3-site46    1.318    14    2    3.057    -1.915    1.354    1.759    -0.615    2.0    0.691    0.502    0.731    0.827    0.677    0.592
H-MgO_14_SiO2_7_Andreas_3-site7    1.464    14    2    3.057    -1.284    1.395    1.758    -0.631    2.0    0.619    0.54    0.812    0.769    0.578    0.704
H-MgO_14_SiO2_7_Andreas_3-site8    0.381    14    3    3.057    -3.612    1.476    1.886    -0.693    2.0    0.435    0.292    0.7    0.645    0.484    0.567
H-MgO_14_SiO2_7_Escatllar-site10    0.882    14    2    3.452    -1.952    1.387    1.758    -0.646    2.0    0.66    0.512    0.771    0.81    0.623    0.629
H-MgO_14_SiO2_7_Escatllar-site11    0.531    14    3    3.452    -2.554    1.546    1.905    -0.693    2.0    0.299    0.407    0.752    0.537    0.488    0.647
H-MgO_14_SiO2_7_Escatllar-site12    1.363    14    2    3.452    -1.3    1.391    1.785    -0.611    2.0    0.696    0.501    0.723    0.828    0.687    0.589
H-MgO_14_SiO2_7_Escatllar-site16    0.268    14    3    3.452    -2.719    1.634    1.908    -0.721    2.0    0.213    0.557    0.59    0.654    0.531    0.506
H-MgO_14_SiO2_7_Escatllar-site19    1.067    14    3    3.452    -1.696    0.919    1.979    -1.104    2.0    0.196    0.543    0.65    0.554    0.616    0.501
H-MgO_14_SiO2_7_Escatllar-site28    0.925    14    2    3.452    -1.628    1.4    1.763    -0.648    2.0    0.578    0.576    0.838    0.713    0.577    0.771
H-MgO_14_SiO2_7_Escatllar-site30    0.721    14    3    3.452    -2.378    1.464    1.875    -0.624    2.0    0.433    0.256    0.718    0.664    0.415    0.568
H-MgO_14_SiO2_7_Escatllar-site43    1.5    14    2    3.452    -1.415    1.366    1.781    -0.614    2.0    0.689    0.502    0.733    0.826    0.673    0.593
H-MgO_14_SiO2_7_Escatllar-site47    1.161    14    2    3.452    -1.706    1.387    1.758    -0.631    2.0    0.654    0.516    0.778    0.805    0.614    0.64
H-MgO_14_SiO2_7_Escatllar-site48    1.096    14    2    3.452    -1.523    1.374    1.777    -0.614    2.0    0.69    0.502    0.733    0.826    0.674    0.593
H-MgO_16_SiO2_8_Andreas_0-site18    0.902    16    2    3.688    -1.911    1.461    1.742    -0.64    2.0    0.523    0.636    0.851    0.628    0.638    0.815
H-MgO_16_SiO2_8_Andreas_0-site29    0.113    16    3    3.688    -2.569    1.463    1.871    -0.691    2.0    0.292    0.385    0.776    0.541    0.409    0.685
H-MgO_16_SiO2_8_Andreas_0-site32    0.901    16    3    3.688    -2.498    1.491    1.878    -0.716    2.0    0.383    0.388    0.706    0.549    0.552    0.652
H-MgO_16_SiO2_8_Andreas_0-site34    1.253    16    2    3.688    -1.242    1.408    1.802    -0.576    2.0    0.67    0.508    0.758    0.818    0.64    0.613
