Samples    property    nMgO    O_coord    HL_gap    av_d    av_O_Mc    ratio_Mg_Si_cluster    Q_1    Q_2    Q_3    Q_4    Q_5    Q_6
CO-MgO_12_SiO2_6_Escatllar-site7    0.563    12    3    3.511    2.0    -0.65    2.0    0.352    0.545    0.52    0.642    0.609    0.518
CO-MgO_12_SiO2_6_Escatllar-site8    0.558    12    3    3.511    1.961    -0.672    2.0    0.361    0.475    0.633    0.559    0.639    0.54
CO-MgO_12_SiO2_6_Escatllar-site9    0.427    12    4    3.511    2.048    -0.738    2.0    0.255    0.358    0.487    0.545    0.605    0.339
CO-MgO_14_SiO2_7_Andreas_0-site0    0.549    14    4    3.165    2.012    -0.789    2.0    0.371    0.269    0.331    0.762    0.383    0.467
CO-MgO_14_SiO2_7_Andreas_0-site12    0.504    14    3    3.165    1.95    -0.758    2.0    0.312    0.479    0.643    0.607    0.594    0.462
CO-MgO_14_SiO2_7_Andreas_0-site14    0.475    14    3    3.165    1.916    -0.805    2.0    0.195    0.456    0.779    0.46    0.486    0.703
CO-MgO_14_SiO2_7_Andreas_0-site17    0.519    14    3    3.165    1.914    -0.808    2.0    0.292    0.42    0.746    0.526    0.512    0.643
CO-MgO_14_SiO2_7_Andreas_0-site25    0.49    14    3    3.165    1.933    -0.648    2.0    0.195    0.444    0.794    0.453    0.446    0.741
CO-MgO_14_SiO2_7_Andreas_0-site26    0.551    14    4    3.165    2.054    -0.664    2.0    0.311    0.366    0.407    0.609    0.54    0.492
CO-MgO_14_SiO2_7_Andreas_0-site29    0.426    14    3    3.165    1.942    -0.77    2.0    0.222    0.548    0.617    0.601    0.593    0.494
CO-MgO_14_SiO2_7_Andreas_0-site36    0.424    14    3    3.165    1.981    -0.776    2.0    0.094    0.487    0.792    0.394    0.504    0.743
CO-MgO_14_SiO2_7_Andreas_0-site37    0.421    14    4    3.165    2.017    -0.759    2.0    0.244    0.331    0.473    0.669    0.364    0.526
CO-MgO_14_SiO2_7_Andreas_0-site39    0.482    14    3    3.165    2.044    -0.767    2.0    0.44    0.215    0.725    0.69    0.36    0.543
CO-MgO_14_SiO2_7_Andreas_0-site46    0.458    14    5    3.165    2.083    -0.639    2.0    0.251    0.245    0.166    0.717    0.308    0.466
CO-MgO_14_SiO2_7_Andreas_0-site47    0.246    14    4    3.165    2.018    -0.778    2.0    0.229    0.302    0.573    0.516    0.527    0.482
