Samples    property    nMgO    metal_coord    HL_gap    pdos_c    pdos_w    av_d    O_Mc    ratio_Mg_Si_cluster    Q_1    Q_2    Q_3    Q_4    Q_5    Q_6
H-MgO_10_SiO2_5_Escatllar-site16    0.86    10    3    3.419    -2.222    1.423    1.9    -0.636    2.0    0.667    0.489    0.176    0.679    0.716    0.449
H-MgO_10_SiO2_5_Escatllar-site17    0.957    10    3    3.419    -2.454    1.443    1.936    -0.687    2.0    0.667    0.499    0.2    0.663    0.704    0.491
H-MgO_10_SiO2_5_Escatllar-site19    1.414    10    2    3.419    -1.288    1.384    1.8    -0.594    2.0    0.5    0.713    0.5    0.698    0.829    0.719
H-MgO_10_SiO2_5_Escatllar-site23    1.035    10    3    3.419    -2.534    1.555    1.913    -0.746    2.0    0.667    0.462    0.26    0.683    0.67    0.495
H-MgO_10_SiO2_5_Escatllar-site24    0.771    10    3    3.419    -2.6    1.467    1.869    -0.68    2.0    0.667    0.368    0.344    0.74    0.59    0.453
H-MgO_10_SiO2_5_Escatllar-site25    1.148    10    2    3.419    -1.57    1.346    1.764    -0.611    2.0    0.5    0.69    0.502    0.732    0.826    0.675
H-MgO_10_SiO2_5_Escatllar-site28    1.223    10    3    3.419    -2.282    1.41    1.942    -0.647    2.0    0.667    0.582    0.046    0.57    0.76    0.586
H-MgO_10_SiO2_5_Escatllar-site3    0.988    10    3    3.419    -2.648    1.46    1.897    -0.681    2.0    0.667    0.3    0.466    0.688    0.542    0.601
H-MgO_10_SiO2_5_Escatllar-site30    1.399    10    2    3.419    -1.683    1.374    1.759    -0.621    2.0    0.5    0.647    0.52    0.786    0.799    0.604
H-MgO_10_SiO2_5_Escatllar-site32    0.387    10    3    3.419    -2.52    1.501    1.86    -0.66    2.0    0.667    0.262    0.464    0.726    0.497    0.584
H-MgO_10_SiO2_5_Escatllar-site33    0.945    10    3    3.419    -2.32    1.411    1.937    -0.656    2.0    0.667    0.582    0.036    0.571    0.762    0.586
H-MgO_10_SiO2_5_Escatllar-site4    1.528    10    3    3.419    -2.104    1.441    1.931    -0.612    2.0    0.667    0.593    0.069    0.553    0.756    0.605
H-MgO_10_SiO2_5_Escatllar-site5    1.219    10    2    3.419    -1.534    1.357    1.771    -0.622    2.0    0.5    0.678    0.505    0.748    0.822    0.654
H-MgO_12_SiO2_6_Andreas_0-site11    0.727    12    2    3.063    -2.404    1.386    1.76    -0.626    2.0    0.5    0.633    0.529    0.8    0.785    0.589
H-MgO_12_SiO2_6_Andreas_0-site12    0.861    12    3    3.063    -2.59    1.497    1.898    -0.71    2.0    0.667    0.359    0.329    0.756    0.599    0.396
H-MgO_12_SiO2_6_Andreas_0-site17    1.077    12    2    3.063    -2.18    1.402    1.757    -0.641    2.0    0.5    0.643    0.522    0.79    0.795    0.599
H-MgO_12_SiO2_6_Andreas_0-site18    1.406    12    2    3.063    -1.959    1.362    1.78    -0.598    2.0    0.5    0.703    0.5    0.713    0.829    0.7
H-MgO_12_SiO2_6_Andreas_0-site19    0.823    12    3    3.063    -3.187    1.476    1.89    -0.698    2.0    0.667    0.378    0.35    0.729    0.587    0.482
H-MgO_12_SiO2_6_Andreas_0-site20    -0.155    12    3    3.063    -4.42    2.008    1.824    -0.378    2.0    0.333    0.285    0.463    0.712    0.503    0.601
H-MgO_12_SiO2_6_Andreas_0-site22    1.219    12    2    3.063    -2.402    1.423    1.744    -0.638    2.0    0.5    0.593    0.562    0.831    0.735    0.572
H-MgO_12_SiO2_6_Andreas_0-site24    0.474    12    3    3.063    -2.847    1.574    1.867    -0.65    2.0    0.667    0.327    0.422    0.714    0.547    0.558
H-MgO_12_SiO2_6_Andreas_0-site26    0.353    12    3    3.063    -2.942    1.727    1.935    -0.798    2.0    0.667    0.252    0.551    0.623    0.516    0.684
H-MgO_12_SiO2_6_Andreas_0-site28    0.768    12    3    3.063    -2.99    1.501    1.908    -0.725    2.0    0.667    0.428    0.337    0.684    0.618    0.539
H-MgO_12_SiO2_6_Andreas_0-site30    1.489    12    2    3.063    -1.421    1.373    1.77    -0.581    2.0    0.5    0.682    0.503    0.742    0.824    0.661
H-MgO_12_SiO2_6_Andreas_0-site31    0.789    12    3    3.063    -2.9    1.394    1.905    -0.7    2.0    0.667    0.509    0.18    0.656    0.715    0.493
H-MgO_12_SiO2_6_Andreas_0-site32    1.261    12    2    3.063    -1.693    1.359    1.761    -0.619    2.0    0.5    0.658    0.514    0.773    0.809    0.62
H-MgO_12_SiO2_6_Andreas_0-site33    0.86    12    3    3.063    -3.284    1.392    1.907    -0.693    2.0    0.667    0.51    0.189    0.651    0.711    0.507
H-MgO_12_SiO2_6_Andreas_0-site34    1.37    12    2    3.063    -1.327    1.37    1.765    -0.584    2.0    0.5    0.686    0.502    0.737    0.825    0.669
H-MgO_12_SiO2_6_Andreas_0-site37    1.779    12    3    3.063    -0.979    0.786    1.927    -0.941    2.0    1.0    0.472    0.221    0.686    0.692    0.463
H-MgO_12_SiO2_6_Andreas_0-site38    0.64    12    3    3.063    -3.287    1.399    1.928    -0.689    2.0    0.667    0.491    0.223    0.663    0.693    0.507
H-MgO_12_SiO2_6_Andreas_0-site40    0.825    12    3    3.063    -2.87    1.484    1.885    -0.714    2.0    0.667    0.366    0.368    0.728    0.572    0.5
H-MgO_12_SiO2_6_Andreas_0-site9    1.128    12    3    3.063    -2.706    1.407    1.921    -0.689    2.0    0.667    0.507    0.172    0.659    0.719    0.486
H-MgO_12_SiO2_6_Andreas_1-site0    1.216    12    2    3.382    -1.351    1.37    1.772    -0.589    2.0    0.5    0.668    0.508    0.761    0.816    0.637
